message_id,user_id,event_type,event_timestamp
hist_msg_0089,user_027,opened,2026-07-24T19:26:53.145477
hist_msg_0090,user_012,reported,2026-07-27T16:10:53.145477
hist_msg_0091,user_093,muted,2026-07-11T11:38:53.145477
hist_msg_0092,user_034,dismissed,2026-07-04T17:47:53.145477
hist_msg_0093,user_087,opened,2026-07-28T18:50:53.145477
hist_msg_0094,user_018,reported,2026-07-20T04:35:53.145477
hist_msg_0095,user_094,muted,2026-07-26T15:52:53.145477
hist_msg_0096,user_059,replied,2026-07-06T05:15:53.145477
hist_msg_0097,user_017,reported,2026-07-28T06:02:53.145477
hist_msg_0098,user_073,dismissed,2026-07-12T07:19:53.145477
hist_msg_0099,user_004,opened,2026-07-02T04:54:53.145477
hist_msg_0100,user_053,opened,2026-07-11T09:31:53.145477
hist_msg_0101,user_087,reported,2026-07-24T09:07:53.145477
hist_msg_0102,user_089,muted,2026-07-18T11:45:53.145477
hist_msg_0103,user_085,reported,2026-07-05T01:07:53.145477
hist_msg_0104,user_002,muted,2026-07-04T04:52:53.145477
hist_msg_0105,user_022,dismissed,2026-07-21T11:36:53.145477
hist_msg_0106,user_007,muted,2026-07-11T07:45:53.145477
hist_msg_0107,user_031,muted,2026-07-06T00:12:53.145477
hist_msg_0108,user_064,opened,2026-07-08T18:52:53.145477
hist_msg_0109,user_053,reported,2026-07-31T17:20:53.145477
hist_msg_0110,user_082,dismissed,2026-07-11T04:47:53.145477
hist_msg_0111,user_007,reported,2026-07-14T00:01:53.145477
hist_msg_0112,user_092,replied,2026-07-28T15:01:53.145477
hist_msg_0113,user_044,opened,2026-07-20T16:55:53.145477
hist_msg_0114,user_022,reported,2026-07-28T10:26:53.145477
hist_msg_0115,user_025,dismissed,2026-07-17T12:14:53.145477
hist_msg_0116,user_097,muted,2026-07-28T05:25:53.145477
hist_msg_0117,user_076,opened,2026-07-31T03:11:53.145477
hist_msg_0118,user_056,reported,2026-07-07T13:23:53.145477
hist_msg_0119,user_094,reported,2026-07-10T00:53:53.145477
hist_msg_0120,user_042,dismissed,2026-07-12T11:51:53.145477
hist_msg_0121,user_044,reported,2026-07-17T23:39:53.145477
hist_msg_0122,user_090,replied,2026-07-11T12:27:53.145477
hist_msg_0123,user_080,replied,2026-07-02T15:05:53.145477
hist_msg_0124,user_070,reported,2026-07-07T08:02:53.145477
hist_msg_0125,user_075,opened,2026-07-22T06:07:53.145477
hist_msg_0126,user_014,replied,2026-07-30T17:35:53.145477
hist_msg_0127,user_097,dismissed,2026-07-27T17:27:53.145477
hist_msg_0128,user_097,opened,2026-07-05T05:19:53.145477
hist_msg_0129,user_087,muted,2026-07-08T01:31:53.145477
hist_msg_0130,user_066,muted,2026-07-02T06:54:53.145477
hist_msg_0131,user_088,replied,2026-07-08T11:20:53.145477
hist_msg_0132,user_100,reported,2026-07-07T01:35:53.145477
hist_msg_0133,user_078,replied,2026-07-22T05:28:53.145477
hist_msg_0134,user_010,opened,2026-07-28T06:55:53.145477
hist_msg_0135,user_036,dismissed,2026-07-26T00:01:53.145477
hist_msg_0136,user_043,reported,2026-07-02T08:07:53.145477
hist_msg_0137,user_100,reported,2026-07-16T00:46:53.145477
hist_msg_0138,user_010,reported,2026-07-24T13:09:53.145477
hist_msg_0139,user_065,opened,2026-07-14T06:45:53.145477
hist_msg_0140,user_029,dismissed,2026-07-21T07:28:53.145477
hist_msg_0141,user_097,opened,2026-07-14T19:26:53.145477
hist_msg_0142,user_045,replied,2026-07-01T23:06:53.145477
hist_msg_0143,user_088,dismissed,2026-07-23T01:04:53.145477
hist_msg_0144,user_067,dismissed,2026-07-16T18:55:53.145477
hist_msg_0145,user_084,replied,2026-07-29T16:39:53.145477
hist_msg_0146,user_069,muted,2026-07-25T13:47:53.145477
hist_msg_0147,user_014,replied,2026-07-11T16:04:53.145477
hist_msg_0148,user_059,opened,2026-07-29T16:23:53.145477
hist_msg_0149,user_033,dismissed,2026-07-05T11:53:53.145477
hist_msg_0150,user_050,opened,2026-07-31T07:09:53.145477
hist_msg_0151,user_001,opened,2026-07-07T01:30:53.145477
hist_msg_0152,user_010,reported,2026-07-06T09:12:53.145477
hist_msg_0153,user_037,reported,2026-07-16T13:29:53.145477
hist_msg_0154,user_018,dismissed,2026-07-22T15:27:53.145477
hist_msg_0155,user_094,replied,2026-07-14T01:16:53.145477
hist_msg_0156,user_006,reported,2026-07-19T01:11:53.145477
hist_msg_0157,user_040,reported,2026-07-25T05:19:53.145477
hist_msg_0158,user_021,replied,2026-07-05T10:15:53.145477
hist_msg_0159,user_024,muted,2026-07-04T02:23:53.145477
hist_msg_0160,user_071,replied,2026-07-23T16:33:53.145477
hist_msg_0161,user_075,opened,2026-07-10T11:37:53.145477
hist_msg_0162,user_080,dismissed,2026-07-16T05:19:53.145477
hist_msg_0163,user_085,dismissed,2026-07-13T07:55:53.145477
hist_msg_0164,user_022,muted,2026-07-06T11:36:53.145477
hist_msg_0165,user_047,muted,2026-07-03T03:58:53.145477
hist_msg_0166,user_046,opened,2026-07-26T00:48:53.145477
hist_msg_0167,user_036,opened,2026-07-23T17:55:53.145477
hist_msg_0168,user_003,reported,2026-07-13T06:28:53.145477
hist_msg_0169,user_005,muted,2026-07-03T02:24:53.145477
hist_msg_0170,user_100,dismissed,2026-07-24T00:18:53.145477
hist_msg_0171,user_060,reported,2026-07-19T07:02:53.145477
hist_msg_0172,user_085,replied,2026-07-07T02:58:53.145477
hist_msg_0173,user_021,muted,2026-07-10T14:46:53.145477
hist_msg_0174,user_006,dismissed,2026-07-24T16:48:53.145477
hist_msg_0175,user_030,muted,2026-07-15T08:01:53.145477
hist_msg_0176,user_059,dismissed,2026-07-28T03:47:53.145477
hist_msg_0177,user_095,muted,2026-07-26T06:47:53.145477
hist_msg_0178,user_076,replied,2026-07-23T07:07:53.145477
hist_msg_0179,user_052,opened,2026-07-03T00:05:53.145477
hist_msg_0180,user_018,replied,2026-07-15T10:20:53.145477
hist_msg_0181,user_024,replied,2026-07-09T15:54:53.145477
hist_msg_0182,user_043,muted,2026-07-10T03:27:53.145477
hist_msg_0183,user_076,opened,2026-07-31T11:17:53.145477
hist_msg_0184,user_074,opened,2026-07-11T03:55:53.145477
hist_msg_0185,user_074,reported,2026-07-23T13:52:53.145477
hist_msg_0186,user_077,muted,2026-07-29T13:18:53.145477
hist_msg_0187,user_061,reported,2026-07-12T15:46:53.145477
hist_msg_0188,user_099,dismissed,2026-07-23T14:59:53.145477
hist_msg_0189,user_059,muted,2026-07-24T06:17:53.145477
hist_msg_0190,user_014,muted,2026-07-04T03:46:53.145477
hist_msg_0191,user_020,reported,2026-07-15T23:05:53.145477
hist_msg_0192,user_069,reported,2026-07-16T15:10:53.145477
hist_msg_0193,user_001,opened,2026-07-18T08:30:53.145477
hist_msg_0194,user_068,reported,2026-07-20T00:13:53.145477
hist_msg_0195,user_055,opened,2026-07-07T11:37:53.145477
hist_msg_0196,user_077,opened,2026-07-25T19:14:53.145477
hist_msg_0197,user_067,dismissed,2026-07-19T12:53:53.145477
hist_msg_0198,user_047,dismissed,2026-07-11T00:34:53.145477
hist_msg_0199,user_069,replied,2026-07-23T06:53:53.145477
hist_msg_0200,user_071,reported,2026-07-20T02:02:53.145477
