group_id,user_id,role,activity_level,read_rate,reply_rate,dismissal_rate,is_muted
group_015,user_011,member,passive,0.36,0.15,0.47,False
group_015,user_098,member,active,0.78,0.2,0.1,False
group_015,user_021,member,passive,0.68,0.45,0.08,False
group_015,user_035,member,lurker,0.6,0.46,0.31,False
group_015,user_058,member,passive,0.52,0.45,0.16,False
group_015,user_066,member,active,0.7,0.11,0.49,True
group_015,user_019,member,lurker,0.61,0.56,0.28,True
group_015,user_056,member,passive,0.85,0.08,0.22,False
group_016,user_096,member,active,0.78,0.53,0.2,True
group_016,user_003,member,passive,0.61,0.58,0.13,False
group_016,user_046,member,lurker,0.56,0.17,0.11,False
group_016,user_009,member,active,0.42,0.08,0.14,True
group_016,user_045,member,passive,0.9,0.38,0.5,False
group_016,user_031,member,passive,0.23,0.47,0.18,True
group_016,user_094,member,lurker,0.45,0.13,0.22,False
group_016,user_085,member,lurker,0.53,0.67,0.2,False
group_016,user_081,member,passive,0.72,0.29,0.41,False
group_017,user_094,member,lurker,0.42,0.12,0.2,False
group_017,user_055,member,passive,0.53,0.52,0.12,False
group_017,user_011,member,passive,0.54,0.52,0.46,False
group_017,user_056,member,passive,0.68,0.56,0.08,False
group_017,user_078,member,passive,0.58,0.54,0.12,True
group_017,user_024,member,active,0.84,0.49,0.25,False
group_018,user_031,member,active,0.65,0.49,0.48,False
group_018,user_100,member,passive,0.77,0.42,0.29,False
group_018,user_083,member,passive,0.69,0.21,0.1,False
group_018,user_047,member,passive,0.59,0.64,0.1,False
group_018,user_050,member,lurker,0.53,0.7,0.18,False
group_018,user_073,member,active,0.29,0.6,0.25,False
group_019,user_088,member,lurker,0.61,0.63,0.43,False
group_019,user_041,member,passive,0.58,0.13,0.14,False
group_019,user_086,member,active,0.79,0.07,0.3,False
group_019,user_045,member,passive,0.8,0.41,0.33,True
group_019,user_091,member,active,0.43,0.7,0.37,False
group_019,user_009,member,passive,0.82,0.1,0.49,True
group_020,user_060,member,lurker,0.88,0.09,0.11,False
group_020,user_088,member,passive,0.32,0.26,0.37,False
group_020,user_067,member,lurker,0.87,0.6,0.16,False
group_020,user_045,member,active,0.67,0.45,0.09,False
group_020,user_017,member,lurker,0.91,0.15,0.35,False
group_020,user_100,member,lurker,0.23,0.61,0.09,False
group_020,user_071,member,lurker,0.36,0.42,0.33,True
group_020,user_082,member,passive,0.87,0.4,0.34,False
group_020,user_076,member,passive,0.38,0.57,0.23,False
group_020,user_024,member,active,0.72,0.15,0.24,False
group_020,user_099,member,active,0.46,0.14,0.44,False
group_020,user_056,member,lurker,0.94,0.27,0.23,False
